Bad ones for codimension c = 6 up to max degree d = 30
{0,10,21,57,83,89}
{0,10,22,41,83,89}
{0,10,22,46,83,89}
{0,10,22,51,83,89}
{0,10,23,47,81,89}
{0,10,23,51,81,89}
{0,10,23,51,83,89}
{0,10,27,57,83,89}
{0,10,27,63,86,89}
{0,10,31,43,83,89}
{0,10,31,47,83,89}
{0,10,31,64,83,89}
{0,10,31,67,83,89}
{0,10,31,71,83,89}
{0,10,32,71,83,89}
{0,10,33,57,83,89}
{0,10,33,71,83,89}
{0,10,36,67,83,89}
{0,10,37,58,83,89}
{0,10,37,61,83,89}
{0,10,37,67,83,89}
{0,10,39,47,83,89}
{0,10,39,51,83,89}
{0,10,39,71,83,89}
{0,10,41,47,79,83}
{0,10,41,53,87,89}
{0,10,42,71,83,89}
{0,10,43,47,81,89}
{0,10,43,71,83,89}
{0,10,46,57,83,89}
{0,10,46,67,83,89}
{0,10,47,67,83,89}
{0,10,47,69,81,89}
{0,10,47,69,83,86}
{0,10,49,71,83,89}
{0,10,51,63,83,89}
{0,10,51,69,83,89}
{0,12,17,53,79,86}
{0,12,25,59,83,86}
{0,12,29,61,83,86}
{0,12,31,46,83,89}
{0,12,31,49,79,83}
{0,12,31,61,79,83}
{0,12,38,71,79,85}
{0,12,41,59,79,83}
{0,12,41,73,79,86}
{0,12,46,65,83,89}
{0,13,42,59,86,89}
{0,14,31,67,79,89}
{0,14,43,67,79,89}
{0,15,28,62,86,89}
{0,16,38,69,87,89}
{0,16,42,59,83,89}
{0,18,31,59,79,89}
{0,18,31,67,79,89}
{0,18,37,59,79,89}
{0,21,46,57,83,89}
{0,22,31,43,83,89}
{0,22,31,73,83,89}
{0,22,36,51,83,89}
{0,22,41,53,87,89}
{0,22,46,71,83,89}
{0,22,51,63,83,89}
{0,22,51,65,83,89}
{0,22,51,71,83,89}
-1,106,107}
{0,6,23,49,106,107}
{0,6,23,67,106,107}
{0,6,23,79,106,107}
{0,6,23,94,106,107}
{0,6,24,73,106,107}
{0,6,25,55,107,108}
{0,6,25,64,107,108}
{0,6,25,65,107,108}
{0,6,25,77,107,108}
{0,6,25,84,107,108}
{0,6,26,49,106,107}
